path,iamgeName,ImageNorth,ImageEast,ImageLenght,ImageWidth,DateTime,AverageSpeedInteger,AvgEIRI,AvgCIRI,ImageElevation
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30051162_31046117_20180825063836_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.0511625,31.04611722,1440,2560,8/25/2018 6:38,95,1.7,2.1,101
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30051646_31045278_20180825063840_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05164611,31.04527833,1440,2560,8/25/2018 6:38,92,1.6,1.6,98
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30052140_31044437_20180825063844_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05214056,31.04443694,1440,2560,8/25/2018 6:38,88,1.6,1.7,99
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30052301_31191728_20180825062500_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05230111,31.19172861,1440,2560,8/25/2018 6:25,17,2.4,0.2,68
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30052337_31191848_20180825062451_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05233778,31.19184889,1440,2560,8/25/2018 6:24,23,0.9,1,55
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30052392_31191739_20180825062450_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.0523925,31.19173972,1440,2560,8/25/2018 6:24,31,3.2,1.2,68
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30052619_31043579_20180825063848_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05261917,31.04357944,1440,2560,8/25/2018 6:38,88,1.5,2,99
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30052985_31191513_20180825062509_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05298528,31.19151306,1440,2560,8/25/2018 6:25,23,2.4,0.6,61
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30053326_31042126_20180825063856_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05332639,31.04212611,1440,2560,8/25/2018 6:38,76,1.4,1.5,105
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30053463_31041948_20180825063857_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05346333,31.04194806,1440,2560,8/25/2018 6:38,78,1.3,1,122
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30053897_31041153_20180825063901_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05389722,31.04115333,1440,2560,8/25/2018 6:39,82,1.5,1.2,117
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30053921_31191254_20180825062521_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05392167,31.19125472,1440,2560,8/25/2018 6:25,30,1.7,1,74
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30054191_31189807_20180825062302_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05419194,31.18980722,1440,2560,8/25/2018 6:23,12,1.7,0,66
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30054407_31040298_20180825063905_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05440694,31.04029806,1440,2560,8/25/2018 6:39,87,1.2,1,129
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30054608_31191372_20180825062429_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05460861,31.19137222,1440,2560,8/25/2018 6:24,33,1.6,1.1,66
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30054752_31191024_20180825062425_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05475278,31.19102444,1440,2560,8/25/2018 6:24,22,4.4,1,66
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30054882_31191152_20180825062536_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05488222,31.1911525,1440,2560,8/25/2018 6:25,24,2.4,0.9,68
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30054947_31039348_20180825063909_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.0549475,31.03934833,1440,2560,8/25/2018 6:39,95,1.5,1.3,121
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30055271_31189642_20180825062323_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05527194,31.18964222,1440,2560,8/25/2018 6:23,17,3.4,0.6,76
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30055481_31038406_20180825063913_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05548167,31.03840611,1440,2560,8/25/2018 6:39,98,1.5,1.4,117
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30055905_31037702_20180825063916_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05590528,31.03770194,1440,2560,8/25/2018 6:39,99,1.5,1.5,117
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30056201_31190677_20180825062605_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05620083,31.19067778,1440,2560,8/25/2018 6:26,17,2.3,0.7,102
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30056224_31189356_20180825062333_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05622472,31.18935667,1440,2560,8/25/2018 6:23,35,1.6,1,78
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30056952_31188772_20180825062345_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05695194,31.18877222,1440,2560,8/25/2018 6:23,30,1.8,0.7,53
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30057345_31035298_20180825063926_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05734528,31.03529861,1440,2560,8/25/2018 6:39,99,1.6,1.8,139
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30057506_31035032_20180825063927_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05750639,31.03503194,1440,2560,8/25/2018 6:39,100,1.9,1.3,136
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30057741_31190269_20180825062627_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05774167,31.19026917,1440,2560,8/25/2018 6:26,23,1.2,0.4,116
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30058046_31034015_20180825063931_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05804667,31.03401583,1440,2560,8/25/2018 6:39,101,1.6,1.5,134
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30058120_31190281_20180825062630_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05812,31.19028111,1440,2560,8/25/2018 6:26,43,1.2,0.5,109
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30058492_31033297_20180825063934_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05849222,31.0332975,1440,2560,8/25/2018 6:39,103,1.4,1.4,131
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30058854_31193619_20180825062738_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05885444,31.19361917,1440,2560,8/25/2018 6:27,21,1.4,0.4,41
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30058901_31190139_20180825062639_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05890083,31.19013944,1440,2560,8/25/2018 6:26,36,1.7,1.1,77
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30058945_31193460_20180825062726_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05894556,31.19346028,1440,2560,8/25/2018 6:27,35,1.2,0.6,61
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30059093_31032303_20180825063938_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05909278,31.03230333,1440,2560,8/25/2018 6:39,104,1.6,1.7,138
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30059151_31193032_20180825062721_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05915139,31.1930325,1440,2560,8/25/2018 6:27,30,1.6,0.8,27
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30059406_31193367_20180825062748_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05940694,31.19336722,1440,2560,8/25/2018 6:27,21,1.5,0.4,44
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30059524_31190770_20180825062828_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05952389,31.19077028,1440,2560,8/25/2018 6:28,42,2,1,41
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30059551_31031540_20180825063941_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05955111,31.03154083,1440,2560,8/25/2018 6:39,108,1.6,1.4,137
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30059695_31191718_20180825062819_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05969556,31.19171861,1440,2560,8/25/2018 6:28,25,2.7,1.1,41
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30059996_31192801_20180825062805_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05999639,31.19280167,1440,2560,8/25/2018 6:28,20,1.4,0.3,45
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30060014_31030759_20180825063944_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06001389,31.03075944,1440,2560,8/25/2018 6:39,108,1.5,1.6,142
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30060454_31183502_20180825062908_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06045417,31.18350194,1440,2560,8/25/2018 6:29,49,1.8,0.9,84
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30060512_31183318_20180825062909_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.0605125,31.18331861,1440,2560,8/25/2018 6:29,71,1.4,1.1,96
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30060716_31182271_20180825062915_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06071611,31.18227167,1440,2560,8/25/2018 6:29,68,1.5,1.3,43
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30060943_31181278_20180825062920_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06094333,31.18127889,1440,2560,8/25/2018 6:29,71,1.5,1.5,45
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30061154_31028645_20180825063952_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06115389,31.02864528,1440,2560,8/25/2018 6:39,109,1.8,0.4,139
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30061222_31180161_20180825062925_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.0612225,31.18016111,1440,2560,8/25/2018 6:29,78,1.4,1.1,41
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30061342_31179260_20180825062929_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06134194,31.17926056,1440,2560,8/25/2018 6:29,80,2.1,1.5,43
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30061528_31178166_20180825062934_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06152806,31.17816639,1440,2560,8/25/2018 6:29,79,1.5,1.5,38
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30061647_31027876_20180825063955_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06164722,31.02787694,1440,2560,8/25/2018 6:39,108,1.6,1.7,145
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30061688_31177181_20180825062938_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06168833,31.17718167,1440,2560,8/25/2018 6:29,83,1.6,1.6,35
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30061848_31176251_20180825062943_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06184833,31.17625139,1440,2560,8/25/2018 6:29,76,2.4,1.6,23
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062018_31175357_20180825062947_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06201889,31.17535722,1440,2560,8/25/2018 6:29,78,2.2,1.5,22
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062110_31027141_20180825063958_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06211028,31.02714111,1440,2560,8/25/2018 6:39,106,1.4,1.5,136
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062224_31174222_20180825062952_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06222472,31.17422278,1440,2560,8/25/2018 6:29,79,1.5,1.5,19
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062431_31092575_20180825063455_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06243167,31.09257556,1440,2560,8/25/2018 6:34,96,2,1.7,71
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062483_31173364_20180825062956_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06248361,31.17336472,1440,2560,8/25/2018 6:29,77,1.6,1.4,24
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062527_31026383_20180825064001_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06252722,31.02638333,1440,2560,8/25/2018 6:40,102,2.2,2,145
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062567_31093679_20180825063451_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06256778,31.09367944,1440,2560,8/25/2018 6:34,95,1.6,1.8,71
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062654_31172334_20180825063001_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06265417,31.17233389,1440,2560,8/25/2018 6:30,71,1.5,1.3,25
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062673_31094768_20180825063447_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06267361,31.09476833,1440,2560,8/25/2018 6:34,95,1.3,1.4,69
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062748_31095591_20180825063444_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06274833,31.09559111,1440,2560,8/25/2018 6:34,89,1.9,1.5,73
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062788_31096691_20180825063440_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06278889,31.09669167,1440,2560,8/25/2018 6:34,87,1.5,1.3,75
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062816_31171372_20180825063006_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06281667,31.1713725,1440,2560,8/25/2018 6:30,70,1.6,1.4,26
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30062991_31170137_20180825063012_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06299139,31.17013778,1440,2560,8/25/2018 6:30,70,1.3,1.1,33
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063058_31099508_20180825063429_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06305806,31.09950889,1440,2560,8/25/2018 6:34,103,2.1,2.1,73
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063085_31025333_20180825064005_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06308556,31.02533361,1440,2560,8/25/2018 6:40,105,1.7,2.3,145
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063101_31169248_20180825063016_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06310167,31.16924778,1440,2560,8/25/2018 6:30,75,1.5,1.1,33
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063128_31100400_20180825063426_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06312833,31.10040083,1440,2560,8/25/2018 6:34,103,1.8,1.7,73
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063230_31101716_20180825063422_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06323,31.10171667,1440,2560,8/25/2018 6:34,104,1.5,1.7,75
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063256_31168169_20180825063021_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06325583,31.16816944,1440,2560,8/25/2018 6:30,76,1.6,1.6,32
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063290_31102498_20180825063419_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06329083,31.10249889,1440,2560,8/25/2018 6:34,103,1.5,1.6,74
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063354_31103691_20180825063415_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06335389,31.10369111,1440,2560,8/25/2018 6:34,104,2.1,2.3,74
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063430_31104602_20180825063412_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06343,31.10460194,1440,2560,8/25/2018 6:34,105,1.7,1.8,69
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063501_31105541_20180825063409_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06350167,31.10554167,1440,2560,8/25/2018 6:34,106,1.5,1.4,62
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063508_31024573_20180825064008_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06350889,31.02457333,1440,2560,8/25/2018 6:40,106,1.7,2.2,141
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063624_31166379_20180825063029_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06362417,31.16637917,1440,2560,8/25/2018 6:30,75,1.5,1.4,34
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063664_31166020_20180825063031_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06366472,31.16602028,1440,2560,8/25/2018 6:30,72,1.2,0.8,35
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063750_31165147_20180825063035_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06375083,31.1651475,1440,2560,8/25/2018 6:30,75,1.3,1,35
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30063763_31108810_20180825063358_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.06376389,31.10881028,1440,2560,8/25/2018 6:33,107,1.6,1.8,79
,,,,,,,,,,
